username,time,tweet_text
TheInSneider,2022-04-26 23:59:54+00:00,"b""Nothing is a lock when it comes to the Oscars, especially these days, but there are two performances I've heard are\xe2\x80\xa6 https://t.co/PjaMkuNCiJ"""
444mnesiaa,2022-04-26 23:59:25+00:00,"b""RT @uwaisb_: Will Smith's actions at the Oscars sparked more outrage and condemnation than Israel's current war crimes, this world's concep\xe2\x80\xa6"""
notjeremy_,2022-04-26 23:59:22+00:00,b'Amber Heard did a lot more than a slap and something tells me she won\xe2\x80\x99t be banned from the Oscars next year'
RonBro66,2022-04-26 23:59:04+00:00,b'RT @PageSix: Will Smith travels to India following Oscars slap controversy https://t.co/kFQESoiLf1 https://t.co/Lmg58FTWEd'
tasmseb,2022-04-26 23:58:58+00:00,b'rue euphoria http_daddyy 18+ nsfw nsfwfk help write writing essay essay help sugar daddy sugar mommy spoil baby cas\xe2\x80\xa6 https://t.co/IwDmSzXfnU'
MoofyKitten,2022-04-26 23:58:54+00:00,"b'Much like the Oscars slap bullshit, I am tired of hearing about the Johnny Depp bullshit. Would very much like to s\xe2\x80\xa6 https://t.co/bIysvuKWj6'"
DannyPerez1438,2022-04-26 23:58:52+00:00,b'RT @ErikDavis: Notes on Sony\xe2\x80\x99s #CinemaCon presentation: \n- #AcrossTheSpiderVerse footage was the big winner. Everyone walking out is RAVING\xe2\x80\xa6'
user45761827,2022-04-26 23:58:43+00:00,b'coming to sweep the oscars https://t.co/YoXJARJka3'
BHPReviews,2022-04-26 23:57:52+00:00,b'RT @CassanovaHefner: This Slap better than the Oscars. HANDS DOWN! \xf0\x9f\x98\xae\xe2\x80\x8d\xf0\x9f\x92\xa8 https://t.co/VorceYAWmg'
TammyBr48675861,2022-04-26 23:57:34+00:00,"b""@RealBrysonGray CMI yeah didn't Angelina Jolie drink her brother's blood at some Oscars or something"""
lhctm_74,2022-04-26 23:57:23+00:00,b'RT @LauraPausini: A year ago I was in Los Angeles waiting for the night of the Oscars.\nEveryday many magazines asked us for new pictures...\xe2\x80\xa6'
o_aidee,2022-04-26 23:57:20+00:00,"b'RT @CTilburyMakeup: \xf0\x9f\x92\x9e\xf0\x9f\x9a\xa8 NEW! PILLOW TALK BEAUTY SECRETS! \xf0\x9f\x9a\xa8\xf0\x9f\x92\x9e\n\nDarlings, Pillow Talk is EVERYONE\xe2\x80\x99S PERFECT SHADE!! My makeup kit for Oscars we\xe2\x80\xa6'"
333X2C,2022-04-26 23:57:14+00:00,b'oscars are being handed out as we speak https://t.co/8xnsvcb0Yb'
KZu_67,2022-04-26 23:57:12+00:00,"b'RT @PopBase: Chris Rock\xe2\x80\x99s mom talks about the Oscars slap:\n\n\xe2\x80\x9cWhen Will slapped Chris, he slapped all of us. But he really slapped me. Becau\xe2\x80\xa6'"
RobertB51707688,2022-04-26 23:56:23+00:00,b'I smell Oscars \xe2\x9d\xa4\xef\xb8\x8f https://t.co/SppjwevuqS'
jpurds,2022-04-26 23:56:12+00:00,b'@oscars_central Only Foxcatcher'
emiliascillian,2022-04-26 23:56:07+00:00,b'I will be watching both but I need to know what the plot for Barbie is so I can campaign both Cillian and Margot\xe2\x80\x99s\xe2\x80\xa6 https://t.co/rH9OLz6Knl'
melchoruh,2022-04-26 23:55:48+00:00,b'RT @ColIegeStudent: Just like the Oscars https://t.co/QICD5AF0O7'
PersonBeginning,2022-04-26 23:55:32+00:00,"b'@badniggafela You see John David Washington movies, are always confusing. I wonder why it wasn\xe2\x80\x99t nominated for oscars??'"
dn_Tb,2022-04-26 23:55:30+00:00,b'RT @Frame_io: \xf0\x9f\x8e\xa5\xf0\x9f\x8d\xbfCongrats to the winners and nominees! See how they did it with our deep dive giving you all the details about what it takes\xe2\x80\xa6'
madsiesaccount,2022-04-26 23:55:27+00:00,b'i will never get over the way the oscars slandered encanto with that performance. they literally need to apologize to colombia for that'
lein_add,2022-04-26 23:55:01+00:00,b'RT @CassanovaHefner: This Slap better than the Oscars. HANDS DOWN! \xf0\x9f\x98\xae\xe2\x80\x8d\xf0\x9f\x92\xa8 https://t.co/VorceYAWmg'
rags751,2022-04-26 23:54:40+00:00,b'RT @Fandango: A you-had-to-be-there tweet but let Baz Luhrmann host the Oscars. #Cinemacon2022'
beyonceparkwood,2022-04-26 23:54:03+00:00,"b'Today 1 month ago, Beyonc\xc3\xa9 performed at the Oscars! https://t.co/fgowfsxVd8'"
935KDAY,2022-04-26 23:53:25+00:00,b'#KrushGroove artist DJ Quik chooses between performing \xe2\x80\x9cHand In Hand\xe2\x80\x9d or \xe2\x80\x9cDown Down Down\xe2\x80\x9d\xf0\x9f\x94\xa5\xf0\x9f\x92\xaf\xf0\x9f\x91\x91\n\xe2\x80\xa2\n@djquik\xe2\x80\xa6 https://t.co/CrARzO16Wr'
Kittycrotch97,2022-04-26 23:52:41+00:00,b'RT @fordhoIden: will smith should go back to the oscars in ten years and just do that to chris rock again'
LyssaGrace77,2022-04-26 23:52:28+00:00,"b""RT @CasIsLoved: castiel's confession trended above us elections. misha collins at the oscars trended above all the a-listers. misha coming\xe2\x80\xa6"""
Fandango,2022-04-26 23:51:33+00:00,b'A you-had-to-be-there tweet but let Baz Luhrmann host the Oscars. #Cinemacon2022'
yusufelebiaryy,2022-04-26 23:51:20+00:00,"b'and the oscars, the oscars are my super bowl. what would i wear? what would i say in my acceptance speech? would i\xe2\x80\xa6 https://t.co/L29dNoCx53'"
jodaniecarpino,2022-04-26 23:51:19+00:00,b'@goldenwaves102 @TamaraBraun And as Oscars mom[ am I right] she wouldnt have to come back from the dead. But would\xe2\x80\xa6 https://t.co/OEnzMkUdw2'
50one5O,2022-04-26 23:50:57+00:00,b'RT @ohkayer: her name being engraved into the oscars as we speak'
heyhi2016,2022-04-26 23:50:09+00:00,b'RT @amorversace: Elsa Hosk wearing vintage Tom Ford for Gucci to the 2019 Vanity Fair post-Oscars party https://t.co/rQjBgWnYr1'
